A1	A2	A1_mlst	A2_mlst	A1_KL	A2_KL	A1_region23	A2_region23	Region	patristic	phagedist	serotype
Aci1	Aci3	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6463	0	ST2 - KL3
Aci1	Aci11	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	1.624	0	ST2 - KL3
Aci1	Aci12	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6406	0	ST2 - KL3
Aci1	Aci13	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6388	0	ST2 - KL3
Aci1	Aci14	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.632	0	ST2 - KL3
Aci1	Aci15	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6375	0	ST2 - KL3
Aci1	Aci16	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6388	0	ST2 - KL3
Aci1	Aci17	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6347	0	ST2 - KL3
Aci1	Aci18	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6387	0	ST2 - KL3
Aci1	Aci19	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6388	0	ST2 - KL3
Aci1	Aci20	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	2.304	0	ST2 - KL3
Aci1	Aci21	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.643	0	ST2 - KL3
Aci1	Aci22	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6419	0	ST2 - KL3
Aci1	Aci23	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	1.915	0	ST2 - KL3
Aci1	Aci24	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6408	0	ST2 - KL3
Aci1	Aci25	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	1.919	0	ST2 - KL3
Aci1	Aci26	ST2	ST2	KL3	KL3	east_south_europe	east_south_europe	Same region	0.6443	0	ST2 - KL3
